key_id,mid,following_num,follower_num,following_id
89,26846937,140,379236,1453409239;261485584;596214634;1500046236;2031078527;351085345;1962633;475961;111297645;1241806378;229733301;37992622;33696;44128829;1956887620;3341680;652137183;30007157;112366173;1440295;2045047052;45478017;390450400;473222648;170948267;8049684;119801456;5294454;99877030;342380815;518814851;566077757;17466521;49129978;388742853;1993333043;28642491;383578614;356010767;11097284;623052830;18154819;10534933;25150941;1415383726;29147608;2072577982;320840078;15052693;482775957;491461719;19696996;522982714;1893319280;485142106;8542312;1725196051;495535252;173469252;26321770;32025839;1523475;487425891;273139194;212630840;109311521;218869446;22064108;2026561407;269558;10345615;651723984;285571498;13447830;330415548;51300113;290738125;25954179;434967398;9617619;11047627;1393437;495726120;604003146;37607457;11139681;213899402;630836232;32708362;340527442;248982142;8993635;402361670;37029661;116683;350840700;306895558;946974;28146907;351477766
90,397211154,70,527997,8455326;19807211;1570913718;474329765;21568298;368094978;31263543;473222648;456651290;386167920;547072854;7992307;431291773;17051134;389072366;398269235;32164926;1648418388;404440053;491819938;24194912;38400614;446619111;619778295;35867369;396930630;22601886;35970601;687318487;646137;2028484969;612929803;1696356103;593283659;634950455;320840078;383284841;476478916;226901574;357515451;19474906;19193;290515513;434085047;505231976;46296055;385000091;414878461;92343590;453414643;252951676;19048125;57859809;176414546;86497959;384862980;37765809;480015861;67251959;17679256;230995653;36818180;326532691;108866238;81619;36557219;271318618;8424940;20999729;91176540
91,1140672573,118,2974279,496625099;1393437;3494353582426366;356480249;86439234;125526;492840942;27775639;261485584;170948267;3461562058672959;1519841129;405729969;9303228;1885250814;1574641450;674180538;2044333698;585957487;2113461107;11097284;520819684;693450094;14583962;320840078;19848928;566258416;1331736743;37880130;617394761;248126236;235555226;342380815;1631440488;1343709972;2342793;7584632;512913053;111362;3433092;1611053412;67141499;17426098;1732229;1320895441;400519751;35894872;27138390;297344797;319762851;1131457022;35847683;400313065;18741834;2200736;192090;380921528;337312411;25392258;394609671;8484043;13331206;9099524;38624349;674734501;14804670;515993;489412051;434376696;321422126;434621768;470156882;40427625;15150704;21474226;1542664310;495535252;244767754;4134324;1168413205;99157282;275260721;289368676;37029661;700634784;351666290;946974;314521322;49246269;23244398;353806838;390437443;1810072186;335427766;38053181;502311351;1847943395;546195;686150641;606305397
92,17596141,24,226521,1453409239;1135476125;79577853;504934876;1833524110;11684621;430967976;320840078;1040671921;393045389;492840942;355327690;572164928;648336119;290526283;495535252;346563107;23947287;473222648;37090048;20927210;520155988;393260578;33683045
93,155301349,9,270091,1436418072;223651376;362252681;12564810;567216033;499866915;1991308681;1055964624;1885078
94,27218150,1050,3589288,forbidden
95,21950148,289,511927,23947287;1340190821;1654298561;125526;478148940;435203110;7577086;2066229715;2026733267;1129687681;102584256;1895195099;1525829554;49576477;3493089438075276;8736958;98718075;11269382;2142864049;304578055;1140672573;261485584;174890586;35757240;697164042;510173985;427983019;1456981504;1422337450;481432974;524662256;630280232;351978136;58919453;440664748;551460746;521536429;321173469;689222371;2714426;1732848825;28574815;383295962;430157679;86405815;3461582969375343;677039967;470747758;686150641;501769786;291324611;25150941;86439234;65620268;50660116;338927049;544336675;14804670;419872064;18202105;254726274;1298299527;11463180;3493080560830654;10664325;473222648;3997812;652188632;773817;444728505;15257891;16395179;489169245;1940027070;46394862;504489158;369287008;170948267;344849038;384320015;398400942;95114740;689305968;2036723106;19201320;385805493;1483706297;354486175;2082652059;613115943;609810021;231896831;439868658;409084845;521568502;601620361;647310437;194087395;491190876;1525032186
96,1367539810,15,216633,23019272;495792263;8366990;365135915;192090;686150641;1968595;495535252;67929707;478030;28786699;106685726;168598;255814542;130636947
97,259584300,156,440475,1374736847;1453409239;1340190821;117550668;1762926;388037313;2142762;454639870;95134415;581800982;5760446;3493141443250876;35654800;1611689997;414388667;3493119119067444;1113861913;3587297;1472374760;11528489;473222648;44434084;686150641;1593381854;2505015;23197979;320840078;306797414;1544008396;32618090;171368594;2146460902;407241075;34281681;524915897;1536030356;495535252;36047134;5374954;2108856;11253297;14871346;38685648;94792232;33887063;19122620;1636034895;64966288;13403208;322607631;152332728;163387036;143776778;3545661;8313115;49643407;35359510;11527656;283036476;15286741;30741290;691996358;397320947;94510621;446496823;1155574439;8621182;243392899;38828;22813930;14048220;29298335;80827077;1379299281;927687;1314450087;553278978;351922378;16739835;34307983;1238658741;7223194;1677445;14897804;1774742985;1836483708;325745;95853308;44932019;2708891;11742550;237053019;437528440;441100030;481825242;290526283;11831050;35723238;491593210;287551041
98,478691043,74,2444237,forbidden
